bmi	steps	gender
31.4	7500	female
31.6	6735	female
17.2	13689	male
28.3	5352	female
30.9	2112	female
15.2	6772	male
31.2	1092	female
16.7	3095	male
16.4	8665	female
24.1	12743	female
32	8629	male
17	8701	male
29	9138	female
18	6335	female
15.3	8920	male
27.4	6189	male
31	1165	male
17.6	11250	male
30.3	6917	female
25.7	10340	female
31.4	2075	male
20	14600	male
26.1	7646	female
24.5	6007	female
20.6	6553	female
31.5	8119	female
26.1	3750	female
28	5498	female
26.5	5570	female
17.5	5643	female
31.3	2403	female
28.5	1930	male
22.9	5352	female
31.5	9830	female
29	9284	female
30.6	2731	female
30.3	1383	female
25.1	6663	female
31.3	9102	male
23.6	874	female
27.2	10704	female
25.1	7282	female
21.9	13143	male
26.7	9539	female
31.3	10194	male
30.9	6335	female
16.6	12816	male
20.8	14308	female
26.6	8738	male
17.5	5316	female
16.8	5388	female
26.3	6153	female
20.9	5680	male
23.1	7900	male
18.7	5206	male
27.3	10485	male
19.6	14563	female
23.5	9284	female
30	7718	female
19	10085	male
29.6	11869	male
31.5	9211	male
31.7	7209	female
21.3	10995	female
25.1	7391	female
21.2	10922	male
17.4	12561	male
30.5	510	male
27.9	10886	female
29.8	3277	male
18.6	9939	female
16.6	12524	female
29.4	10704	female
29.8	3532	female
16.8	5680	female
17.5	5461	female
28.1	9903	female
16.5	4260	female
29.4	10121	female
25.3	9867	male
29.4	6044	female
28.5	2585	male
19.2	11323	female
24.4	5934	female
18.5	11833	female
22	5680	male
26.1	4041	male
17.4	9029	male
15.7	6044	male
18	13762	male
28	2731	male
26.8	6517	female
17.2	14454	male
30.7	1238	female
25.2	9757	female
26.6	8774	male
28.2	10158	female
17.2	13981	female
25	109	female
23	9102	female
17	14053	male
24	5680	male
29	5789	male
20	5024	male
29.9	8447	male
30.9	10158	female
20.5	6590	female
18.8	14308	female
31.7	7427	male
29	4515	male
17	12051	male
31.2	9466	female
24.8	6408	male
27.6	10667	female
30.5	5862	male
28.7	801	female
28.8	4587	male
16.8	3568	female
16.8	4333	female
28.9	6954	female
26.9	6481	female
29.5	6917	female
23.2	7937	male
31.1	9939	male
15.1	7791	female
17.4	5680	male
22.7	5388	female
17.6	13252	male
27.5	9138	female
30.7	10231	female
27.3	10449	male
27.4	10558	female
30.8	182	female
18.2	9757	female
17.7	6590	male
28.4	10267	female
28.4	8155	male
25.5	2294	female
27.7	8920	male
23.4	837	female
16.5	14490	male
29.8	3386	female
28.2	473	female
17	14163	male
29.2	6845	male
17.6	11796	female
31.5	9393	female
29	1711	male
18	9612	male
28.3	2731	female
20	14563	female
26.9	9939	female
17.4	11104	female
29.6	2585	male
23.4	5425	female
17.1	2985	female
26.1	7682	male
17.4	5716	female
29.7	8374	male
30.6	1274	male
28.7	4624	male
28.2	5279	female
30.9	2112	female
21.5	6262	female
25	73	female
28.9	5789	female
25.8	10558	female
20	6699	male
23.3	8010	male
29.1	6517	female
19.6	6553	female
17.4	12597	male
29.2	9393	female
25	7718	male
26.7	7100	male
19.2	11323	female
26.9	6153	female
26.6	8738	male
28.4	2330	male
23	7937	male
31.1	6189	male
26.1	2621	male
18.1	13799	female
17.8	13689	female
